player_id,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_epa,special_teams_tds,def_tackles_solo,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_interceptions,def_tds,def_fumbles,def_safeties,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_blocked,player_display_name,position_x,position_group,headshot_url,team,height,weight,birth_date,fg_pct
00-0035692,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11,4,0,4.0,0,0,0,0,0,0,0,0,0,0,0,Clelin Ferrell,DE,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rit24n5qbvlrxdv6w9fq",LAC,76.0,265.0,1997-05-17,
00-0035697,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,63,6,1,0.0,1,0,0,0,0,0,0,0,0,0,0,Germaine Pratt,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/genaletbuldhonkf0zlc",LV,75.0,250.0,1996-05-21,
00-0035698,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Chuma Edoga,OT,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cjz3anx4ehf8eny1p11v",JAX,76.0,315.0,1997-05-25,
00-0035699,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,38,1,2,1.0,3,1,0,0,0,0,0,0,0,0,0,Jamel Dean,CB,DB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s0k1zs9nyl2cqsjwf5cs",TB,73.0,206.0,1996-10-15,
00-0035700,0,0,0,0,0,0,0,0,0,0.0,0.0,0,234,929,13,3,-14.83599532932669,36,44,282,1,0,11.848035139989577,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Josh Jacobs,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo",GB,70.0,223.0,1998-02-11,
00-0035702,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Dalton Risner,G,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zjxm9sjrgpebfesh1b0h",CIN,77.0,312.0,1995-07-13,
00-0035704,2,3,15,0,0,0,0,0,0,-0.8927228087559342,-14.289780457814537,0,6,-5,0,2,-0.9669484701007605,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Drew Lock,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e0xz0hu8s0lpbwlr0bzj",SEA,76.0,228.0,1996-11-10,
00-0035705,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,50,2,1,1.0,0,0,0,0,0,0,0,0,0,0,0,Jalen Thompson,SAF,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbb1sb2kkjlihuax2cud",ARI,71.0,190.0,1998-07-18,
00-0035707,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,87,10,1,1.0,1,0,0,0,0,0,0,0,0,0,0,Devin White,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oqv87a7jn67zgnlplnbp",LV,72.0,252.0,1998-02-17,
00-0035710,261,384,3101,19,8,22,-158,6,3,65.25551499758664,33.84823236658388,1,45,164,5,2,16.176407669045442,0,0,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Daniel Jones,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nhuiypfjzpkisxllinyv",IND,77.0,230.0,1997-05-27,
00-0035713,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,38,21,3,16.5,0,0,0,0,0,0,0,0,0,0,0,Brian Burns,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/glmrmpqkmsc0jiyicmlg",NYG,77.0,250.0,1998-04-23,
00-0035717,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9,4,2,2.0,0,0,0,0,0,0,0,0,0,0,0,Nick Bosa,DE,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d41bo71xbojqb4picswi",SF,76.0,266.0,1997-10-23,
00-0035718,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,24,9,3,2.5,1,0,0,0,0,0,0,0,0,0,0,Quinnen Williams,DT,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iag4dppbwkghvogebnpc",NYJ,75.0,303.0,1997-12-21,
00-0035719,0,0,0,0,0,0,0,0,0,0.0,0.0,0,15,74,1,0,1.2736273473710753,70,94,707,5,1,23.79256813221634,0,3,0,0,0.0,0,0,0,0,0,0,15,452,0,0,0,Deebo Samuel Sr.,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ntgyhqg6hq7fanhhsqiw",WAS,72.0,215.0,1996-01-15,
00-0035726,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Jakob Johnson,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/awuzhbfuubbmxzxxdtsb",HOU,75.0,255.0,1994-12-15,
00-0035743,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Brett Toth,G,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zizzehbd7dm27rhfeu0d",PHI,78.0,304.0,1996-09-01,
00-0035757,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Jacob Bobenmoyer,LS,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cjpwsinxkggwwfhaahga",LV,72.0,235.0,1997-05-28,
00-0035763,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13,3,0,4.0,0,0,0,0,0,0,0,0,0,0,0,Malcolm Roach,DT,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oxcd8veodm7hkiualglu",DEN,75.0,290.0,1998-06-09,
00-0035795,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,James Pierre,CB,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zasdorlctouussgqzvwm",PIT,74.0,185.0,1996-09-16,
00-0035821,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Corliss Waitman,P,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ob1q154g57ksxc5iskbw",PIT,74.0,210.0,1995-07-21,
00-0035827,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Ross Matiscik,LS,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/peerx3z23y51k34wfqps",JAX,72.0,240.0,1996-09-13,
00-0035841,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,2,0,1.0,0,0,0,0,0,0,0,0,0,0,0,Benito Jones,DT,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjruxqws2pnnpe4e0u2r",MIA,73.0,335.0,1997-11-27,
00-0035857,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,Chris Williams,DL,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bbjvbvpdww9kquh969zh",CHI,74.0,298.0,1998-06-16,
00-0035859,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Blake Gillikin,P,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/idkikmdoy9mz7fw2dgl0",ARI,74.0,196.0,1998-01-21,
00-0035876,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2,4,8,0,0,-1.8098246662411839,0,0,0,0,0.0,0,0,0,0,0,0,9,236,0,0,0,Andre Baccellia,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uaqykjil87rj71rkyz70",ARI,70.0,175.0,1997-01-07,
00-0035889,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Tommy Townsend,P,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ct2iphnvz4vl1tdy5wym",HOU,73.0,191.0,1996-11-12,
00-0035890,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10,2,0,2.0,0,0,0,0,0,0,0,0,0,0,0,Tershawn Wharton,DE,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mj9xqaj2jvv5unjgxomd",CAR,73.0,280.0,1998-06-25,
00-0035891,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3,4,90,1,0,4.8423199583776295,0,5,0,0,0.0,0,0,0,0,0,0,4,106,0,0,0,Cody White,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt9wl5yecg6zcnfnledb",SEA,75.0,227.0,1998-11-28,
00-0035895,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Joe Bachie,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jystq5jdj84wi0pwqzbi",IND,74.0,235.0,1998-02-26,
00-0035900,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Cole Christiansen,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nrj9fpwkb4zt9jh2yjp9",KC,73.0,230.0,1997-07-30,
00-0035933,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,Michael Hoecht,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zpg40jv0kwikhxtmcfsi",BUF,76.0,267.0,1997-10-05,
00-0035942,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,50,7,1,2.0,0,0,0,0,0,0,0,0,0,0,0,Christian Rozeboom,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kobbnik0wg5amqr1imnr",CAR,74.0,230.0,1997-01-30,
00-0035944,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,6,4,0,3.0,0,0,0,0,0,0,0,0,0,0,0,Jonah Williams,DE,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d5yxodbic254mvmcqvel",NO,77.0,275.0,1995-08-17,
00-0035956,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,-0.901857088902034,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Giovanni Ricci,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/irj1ejjmt0nvi1hlscr7",DET,75.0,240.0,1996-10-16,
00-0035961,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Krys Barnes,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xgq5wwfuk5s2frsx0ha0",CAR,74.0,229.0,1998-04-02,
00-0035993,52,67,426,2,0,8,-38,0,0,5.65948320099755,57.3265730798036,0,24,151,0,0,10.847624528454617,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Tyler Huntley,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zqrzxwprqfsh4t4aa8lk",BAL,73.0,204.0,1998-02-03,
00-0036036,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Terence Steele,OT,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ezmoh6joqsserp3ogcqc",DAL,78.0,310.0,1997-06-04,
00-0036037,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Sam Franklin Jr.,SAF,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/djoisg0rjwm8t8dlskvn",BUF,75.0,210.0,1996-02-02,
00-0036040,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,74,97,828,3,1,33.93951316632831,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Juwan Johnson,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wuyyzdqkh5fve8t7kfuv",NO,76.0,231.0,1996-09-13,
00-0036081,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Broderick Washington,DT,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p5tkzkh6v2hda70lwojk",BAL,74.0,314.0,1996-12-04,
00-0036082,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Liam McCullough,LS,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ahq1mizgl4hoqdfuytlu",ATL,74.0,245.0,1997-06-05,
00-0036087,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,18,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Myles Bryant,CB,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mslszzwcbmt6hafvvu7r",HOU,69.0,192.0,1998-01-02,
00-0036114,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,A.J. Green,CB,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lacmlfcdn7rcfdxkfkfp",MIA,74.0,198.0,1998-06-09,
00-0036123,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Brandon Walton,OT,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lc7g4r7lftzp99vwtvqv",CAR,77.0,300.0,1998-03-18,
00-0036124,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Khalil Dorsey,CB,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wmeizkmh4vdsbkf4uclw",DET,68.0,188.0,1998-03-31,
00-0036130,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,5,2,0,2.0,0,0,0,0,0,0,0,0,0,0,0,Nnamdi Madubuike,DT,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvqf4b2ks5pwfkzynt5d",BAL,75.0,305.0,1997-11-17,
00-0036132,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Ben Bredeson,G,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i5wt8frcymm1gjbwhlzy",TB,77.0,315.0,1998-02-20,
00-0036133,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,5,11,60,0,0,1.802333912171889,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,James Proche,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1jyxzrzgn2od1sempye",TEN,71.0,193.0,1996-09-20,
00-0036139,0,0,0,0,0,0,0,0,0,0.0,0.0,0,229,1066,6,0,4.7871080525490575,37,48,277,1,0,-1.793824101756792,0,3,0,0,0.0,0,0,0,0,0,0,8,197,0,0,0,Rico Dowdle,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvnrzndsiaojvvxz8vo5",CAR,72.0,215.0,1998-06-14,
00-0036151,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13,6,2,4.0,0,0,0,0,0,0,0,0,0,0,0,Bryce Huff,DE,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pminx3vvyt9laihkxk55",SF,75.0,255.0,1998-04-17,
00-0036157,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Kristian Welch,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ctdrib67gqytr9v2bnpn",GB,75.0,240.0,1998-05-24,
00-0036158,0,0,0,0,0,0,0,0,0,0.0,0.0,0,153,772,4,0,4.184236817905912,11,14,37,0,0,-4.985711282643024,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,J.K. Dobbins,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cevotvl3ho5h1mioruyg",DEN,70.0,212.0,1998-12-17,
00-0036159,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10,2,0,1.0,0,0,0,0,0,0,0,0,0,0,0,Joshua Uche,LB,LB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/t7ahfah5ks9tispkebd5",PHI,75.0,226.0,1998-09-18,
00-0036165,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,10,17,115,1,0,7.707453505659942,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Isaiah Hodgins,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d6ezyptfnmmxgm8rykf4",NYG,75.0,201.0,1998-10-21,
00-0036166,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Dane Jackson,CB,DB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pd5hj8idoykjrnwurduz",BUF,71.0,180.0,1996-11-29,
00-0036171,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,Aaron Brewer,C,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/acczyg9uo4jbervsjb4o",MIA,73.0,295.0,1997-10-28,
00-0036176,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2,4,48,0,0,3.3984646108583547,0,2,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,Mason Kinsey,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hbslm9pimpxgoeti32jf",TEN,71.0,200.0,1998-08-29,
00-0036181,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,21,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,Teair Tart,DT,DL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/arx3xgdgct71ljt18bqa",LAC,74.0,315.0,1997-02-28,
